Body Type,Event Type,Preferred Colors,Season,Fabric Type,Gender,Price Range,Occasion Suitability Score,Style Category
Hourglass,Formal,"['Silver', 'Neutral']",Spring,Cotton,Female,Mid-range,3.7,Business Casual
Hourglass,Wedding,['Blue'],Winter,Wool,Unisex,Mid-range,6.0,Formal
Rectangle,Casual,"['Green', 'Red']",Spring,Silk,Unisex,Mid-range,8.7,Glam
Rectangle,Casual,['Red'],Fall,Polyester,Male,Budget,2.7,Bohemian
Inverted Triangle,Casual,"['Black', 'Blue']",Winter,Wool,Female,Mid-range,2.1,Formal
Hourglass,Party,"['Red', 'Gold', 'White']",Fall,Cotton,Male,Mid-range,5.4,Bohemian
Inverted Triangle,Wedding,"['Neutral', 'Black', 'Silver']",Winter,Polyester,Female,Mid-range,9.3,Streetwear
Pear,Formal,['Blue'],Spring,Polyester,Male,Budget,7.2,Glam
Rectangle,Party,"['Neutral', 'White']",Fall,Silk,Unisex,Luxury,1.3,Formal
Inverted Triangle,Party,"['White', 'Blue']",Fall,Polyester,Female,Budget,4.3,Glam
Oval,Casual,"['Silver', 'Red', 'White']",Fall,Silk,Male,Luxury,7.9,Glam
Inverted Triangle,Wedding,['Red'],Winter,Wool,Male,Mid-range,4.4,Bohemian
Rectangle,Wedding,"['White', 'Black']",Spring,Cotton,Unisex,Budget,5.5,Streetwear
Oval,Formal,['Blue'],Spring,Silk,Unisex,Luxury,8.8,Formal
Pear,Business,"['Silver', 'Neutral']",Spring,Silk,Female,Budget,6.9,Bohemian
Rectangle,Formal,"['Green', 'Blue', 'White']",Summer,Silk,Unisex,Luxury,4.8,Business Casual
Pear,Casual,"['Neutral', 'Silver', 'Gold']",Spring,Cotton,Female,Luxury,5.1,Business Casual
Inverted Triangle,Formal,"['Green', 'Gold']",Fall,Cotton,Unisex,Mid-range,2.0,Formal
Pear,Formal,"['Red', 'Black']",Spring,Silk,Unisex,Mid-range,2.0,Glam
Pear,Business,"['Blue', 'Silver', 'Gold']",Fall,Cotton,Male,Mid-range,9.6,Business Casual
Pear,Business,"['Gold', 'White']",Fall,Cotton,Unisex,Mid-range,9.4,Streetwear
Hourglass,Formal,"['White', 'Red', 'Green']",Fall,Silk,Unisex,Budget,4.5,Formal
Rectangle,Formal,"['Neutral', 'Red', 'Silver']",Winter,Polyester,Male,Luxury,8.6,Business Casual
Rectangle,Casual,"['White', 'Silver', 'Black']",Spring,Silk,Unisex,Budget,5.5,Business Casual
Inverted Triangle,Formal,"['Gold', 'Green']",Spring,Polyester,Female,Luxury,4.8,Formal
Hourglass,Party,['Neutral'],Summer,Cotton,Male,Mid-range,1.4,Bohemian
Oval,Casual,['Gold'],Fall,Cotton,Female,Mid-range,9.1,Bohemian
Oval,Business,"['Silver', 'Blue']",Spring,Polyester,Unisex,Luxury,4.2,Bohemian
Rectangle,Formal,"['White', 'Black']",Fall,Cotton,Female,Mid-range,9.3,Formal
Rectangle,Business,"['White', 'Silver']",Winter,Polyester,Female,Budget,6.9,Glam
Oval,Casual,"['White', 'Gold']",Summer,Cotton,Female,Mid-range,2.7,Glam
Oval,Business,"['White', 'Blue', 'Silver']",Spring,Silk,Male,Budget,1.7,Business Casual
Pear,Party,['Silver'],Winter,Denim,Male,Luxury,2.2,Business Casual
Hourglass,Casual,"['Blue', 'Green', 'White']",Spring,Cotton,Male,Luxury,1.8,Business Casual
Oval,Wedding,"['Green', 'Silver', 'Red']",Fall,Cotton,Unisex,Budget,8.6,Streetwear
Pear,Business,"['Neutral', 'Silver', 'Blue']",Winter,Denim,Unisex,Budget,6.5,Bohemian
Oval,Business,"['Neutral', 'Blue', 'Gold']",Summer,Cotton,Male,Luxury,1.4,Streetwear
Pear,Business,"['Black', 'Blue', 'Green']",Winter,Polyester,Male,Luxury,6.6,Formal
Oval,Wedding,['Gold'],Fall,Cotton,Unisex,Budget,1.3,Formal
Hourglass,Casual,"['Black', 'Neutral', 'Green']",Spring,Cotton,Male,Luxury,3.7,Bohemian
Hourglass,Formal,['Gold'],Winter,Wool,Male,Budget,7.3,Formal
Inverted Triangle,Business,"['Black', 'Neutral', 'Gold']",Summer,Silk,Unisex,Mid-range,5.4,Bohemian
Rectangle,Casual,['Blue'],Summer,Cotton,Female,Mid-range,6.4,Bohemian
Oval,Formal,"['White', 'Blue']",Winter,Wool,Male,Luxury,9.6,Business Casual
Hourglass,Casual,['Silver'],Fall,Silk,Female,Luxury,9.7,Streetwear
Oval,Business,"['Neutral', 'Black', 'Gold']",Winter,Wool,Unisex,Mid-range,1.5,Glam
Oval,Formal,"['Neutral', 'Silver']",Summer,Polyester,Male,Mid-range,3.2,Glam
Rectangle,Business,['Blue'],Summer,Cotton,Female,Luxury,6.8,Business Casual
Rectangle,Casual,"['Black', 'Green', 'Blue']",Summer,Cotton,Unisex,Mid-range,1.5,Glam
Hourglass,Formal,"['Black', 'Blue', 'Silver']",Fall,Silk,Unisex,Mid-range,8.5,Glam
Hourglass,Casual,"['Silver', 'Blue', 'Red']",Winter,Denim,Female,Mid-range,8.5,Business Casual
Rectangle,Casual,"['Silver', 'Red', 'Neutral']",Fall,Silk,Unisex,Budget,3.8,Formal
Inverted Triangle,Casual,['Red'],Winter,Wool,Unisex,Mid-range,1.5,Streetwear
Rectangle,Formal,"['Neutral', 'White', 'Red']",Summer,Polyester,Female,Mid-range,3.9,Formal
Hourglass,Business,"['Gold', 'Blue']",Fall,Silk,Male,Budget,6.6,Bohemian
Pear,Formal,"['Silver', 'Green']",Spring,Silk,Unisex,Mid-range,3.2,Formal
Pear,Party,"['Black', 'White', 'Red']",Winter,Wool,Female,Budget,1.8,Formal
Rectangle,Party,"['Red', 'Blue', 'Neutral']",Summer,Cotton,Unisex,Mid-range,3.4,Business Casual
Hourglass,Casual,"['Neutral', 'White']",Fall,Polyester,Male,Mid-range,3.7,Streetwear
Hourglass,Casual,"['Gold', 'Green', 'Blue']",Spring,Polyester,Female,Luxury,2.9,Formal
Oval,Wedding,"['White', 'Blue']",Summer,Cotton,Unisex,Luxury,6.4,Bohemian
Rectangle,Casual,['Red'],Spring,Cotton,Male,Budget,6.3,Business Casual
Rectangle,Casual,['Neutral'],Summer,Cotton,Unisex,Luxury,7.4,Business Casual
Rectangle,Business,"['Silver', 'Gold', 'Neutral']",Fall,Cotton,Male,Mid-range,1.8,Business Casual
Inverted Triangle,Party,"['Gold', 'Blue']",Spring,Silk,Unisex,Budget,3.2,Formal
Inverted Triangle,Party,"['Red', 'White', 'Silver']",Summer,Cotton,Male,Mid-range,3.7,Formal
Inverted Triangle,Business,"['Neutral', 'Red']",Summer,Cotton,Female,Mid-range,8.9,Formal
Pear,Business,"['Red', 'Black']",Winter,Wool,Male,Mid-range,1.7,Formal
Oval,Formal,"['Blue', 'Black', 'White']",Fall,Cotton,Female,Luxury,9.9,Glam
Oval,Casual,['Blue'],Winter,Wool,Male,Mid-range,8.4,Streetwear
Rectangle,Wedding,"['Silver', 'Red']",Summer,Cotton,Female,Budget,5.3,Business Casual
Hourglass,Casual,"['Neutral', 'Green', 'Black']",Spring,Silk,Unisex,Budget,1.0,Bohemian
Rectangle,Formal,"['Red', 'Silver']",Winter,Wool,Unisex,Mid-range,2.3,Formal
Pear,Party,"['Black', 'Neutral']",Fall,Silk,Male,Luxury,5.4,Streetwear
Inverted Triangle,Formal,['White'],Winter,Wool,Unisex,Luxury,7.0,Business Casual
Pear,Party,['Red'],Fall,Cotton,Male,Luxury,4.8,Business Casual
Hourglass,Casual,"['Green', 'Gold']",Summer,Cotton,Female,Mid-range,9.6,Formal
Rectangle,Formal,['Red'],Winter,Wool,Unisex,Mid-range,2.9,Glam
Pear,Casual,"['Black', 'Red', 'Neutral']",Fall,Silk,Female,Mid-range,7.6,Streetwear
Pear,Business,"['Red', 'Black', 'Gold']",Winter,Polyester,Unisex,Budget,3.3,Formal
Inverted Triangle,Business,['Neutral'],Fall,Polyester,Male,Budget,9.0,Business Casual
Hourglass,Formal,"['Black', 'Red', 'Silver']",Summer,Cotton,Female,Luxury,6.2,Formal
Rectangle,Business,"['Green', 'Black']",Spring,Cotton,Male,Mid-range,7.3,Formal
Oval,Business,"['Neutral', 'Green']",Winter,Wool,Unisex,Luxury,6.0,Formal
Hourglass,Wedding,"['Red', 'Green', 'Blue']",Winter,Denim,Unisex,Mid-range,5.8,Glam
Hourglass,Party,['Green'],Summer,Polyester,Male,Budget,6.6,Glam
Rectangle,Party,['Neutral'],Summer,Cotton,Male,Mid-range,4.8,Formal
Pear,Wedding,['Red'],Spring,Polyester,Unisex,Budget,6.5,Business Casual
Inverted Triangle,Party,['Neutral'],Summer,Silk,Unisex,Mid-range,5.8,Formal
Inverted Triangle,Formal,"['Gold', 'Black', 'Neutral']",Fall,Cotton,Male,Budget,4.1,Formal
Pear,Business,['Neutral'],Summer,Silk,Unisex,Budget,1.2,Glam
Pear,Business,['Red'],Winter,Denim,Unisex,Mid-range,1.6,Formal
Rectangle,Party,"['Black', 'Blue', 'Neutral']",Summer,Cotton,Male,Luxury,8.4,Formal
Hourglass,Formal,['Neutral'],Summer,Cotton,Female,Luxury,1.1,Glam
Rectangle,Wedding,"['Blue', 'Silver']",Fall,Cotton,Female,Budget,6.6,Formal
Pear,Casual,"['Red', 'White']",Winter,Denim,Female,Luxury,1.3,Glam
Pear,Formal,"['Red', 'Black', 'White']",Summer,Silk,Female,Mid-range,3.6,Formal
Hourglass,Casual,['Blue'],Summer,Cotton,Female,Luxury,4.8,Glam
Oval,Formal,"['Gold', 'Green']",Summer,Cotton,Unisex,Budget,2.4,Formal
Hourglass,Formal,"['Black', 'Red']",Fall,Cotton,Female,Mid-range,1.5,Business Casual
Pear,Business,['Blue'],Fall,Cotton,Female,Budget,2.7,Glam
Pear,Party,"['Green', 'Neutral', 'Silver']",Winter,Polyester,Unisex,Budget,4.4,Streetwear
Rectangle,Casual,"['Red', 'Neutral']",Spring,Cotton,Female,Budget,4.0,Glam
Hourglass,Business,"['Blue', 'Neutral', 'Green']",Winter,Polyester,Unisex,Luxury,3.2,Glam
Inverted Triangle,Formal,"['White', 'Neutral']",Spring,Cotton,Male,Mid-range,2.1,Formal
Pear,Formal,['White'],Spring,Polyester,Female,Budget,1.6,Glam
Inverted Triangle,Wedding,"['Black', 'Blue']",Spring,Cotton,Unisex,Budget,3.2,Formal
Rectangle,Casual,"['Neutral', 'White', 'Black']",Summer,Silk,Unisex,Luxury,3.2,Formal
Rectangle,Party,"['Black', 'Silver']",Winter,Wool,Female,Mid-range,7.1,Glam
Oval,Party,"['Neutral', 'White', 'Green']",Fall,Cotton,Female,Luxury,4.1,Formal
Inverted Triangle,Party,['White'],Spring,Polyester,Male,Luxury,5.3,Bohemian
Rectangle,Party,"['Black', 'Gold']",Spring,Polyester,Male,Mid-range,1.2,Bohemian
Hourglass,Formal,"['White', 'Neutral']",Winter,Polyester,Female,Mid-range,3.3,Formal
Hourglass,Casual,"['Silver', 'Red']",Winter,Wool,Male,Budget,7.4,Bohemian
Hourglass,Party,"['Black', 'White']",Fall,Cotton,Unisex,Mid-range,2.4,Business Casual
Pear,Casual,"['Gold', 'Black']",Fall,Silk,Male,Luxury,3.2,Bohemian
Inverted Triangle,Party,['White'],Winter,Denim,Male,Budget,1.9,Glam
Inverted Triangle,Party,['White'],Spring,Cotton,Unisex,Mid-range,6.8,Formal
Rectangle,Party,['Silver'],Winter,Wool,Female,Luxury,2.9,Business Casual
Hourglass,Business,"['Green', 'Neutral', 'Black']",Winter,Denim,Male,Mid-range,7.5,Business Casual
Oval,Wedding,['Green'],Fall,Cotton,Unisex,Mid-range,4.0,Formal
Inverted Triangle,Casual,['Green'],Winter,Denim,Female,Mid-range,2.5,Bohemian
Rectangle,Casual,"['Green', 'Neutral', 'Red']",Spring,Cotton,Unisex,Luxury,4.9,Formal
Pear,Casual,"['Silver', 'Gold']",Fall,Silk,Unisex,Mid-range,8.4,Formal
Hourglass,Business,"['Black', 'Red', 'Neutral']",Spring,Polyester,Unisex,Budget,4.6,Formal
Hourglass,Casual,"['Green', 'Red', 'Blue']",Spring,Silk,Unisex,Budget,5.5,Formal
Hourglass,Casual,['Green'],Winter,Wool,Male,Mid-range,7.4,Streetwear
Rectangle,Casual,"['Gold', 'Red']",Winter,Denim,Unisex,Luxury,1.8,Bohemian
Pear,Wedding,"['Red', 'Green']",Winter,Wool,Female,Luxury,8.8,Glam
Rectangle,Party,['Gold'],Spring,Cotton,Female,Luxury,5.3,Glam
Rectangle,Formal,"['Gold', 'Black']",Winter,Wool,Unisex,Luxury,6.6,Business Casual
Pear,Casual,"['Red', 'Blue', 'Black']",Winter,Denim,Female,Mid-range,8.1,Business Casual
Inverted Triangle,Party,"['Neutral', 'White']",Spring,Cotton,Male,Luxury,8.0,Streetwear
Rectangle,Party,"['White', 'Black']",Summer,Silk,Female,Mid-range,4.7,Bohemian
Inverted Triangle,Business,"['Silver', 'Blue']",Winter,Denim,Unisex,Luxury,7.2,Glam
Inverted Triangle,Business,['White'],Summer,Cotton,Female,Budget,6.7,Bohemian
Oval,Formal,"['Neutral', 'Red', 'White']",Fall,Silk,Female,Budget,2.4,Glam
Oval,Formal,"['Green', 'Blue']",Winter,Denim,Unisex,Luxury,5.1,Formal
Pear,Casual,['Blue'],Winter,Wool,Male,Budget,8.2,Glam
Hourglass,Formal,"['Blue', 'Black', 'Red']",Summer,Polyester,Male,Budget,7.4,Business Casual
Hourglass,Business,"['Gold', 'Silver', 'Blue']",Summer,Polyester,Unisex,Mid-range,6.9,Formal
Oval,Casual,"['Neutral', 'Green', 'Silver']",Winter,Wool,Female,Luxury,9.9,Streetwear
Rectangle,Party,"['Gold', 'White', 'Blue']",Summer,Cotton,Unisex,Budget,5.9,Business Casual
Inverted Triangle,Casual,"['Red', 'Blue']",Winter,Polyester,Female,Budget,8.8,Glam
Pear,Party,"['Black', 'Blue']",Summer,Cotton,Male,Mid-range,7.0,Glam
Rectangle,Wedding,"['Silver', 'White', 'Red']",Winter,Polyester,Female,Luxury,3.3,Business Casual
Hourglass,Party,['Green'],Winter,Denim,Male,Luxury,2.5,Bohemian
Hourglass,Casual,['Red'],Winter,Wool,Male,Mid-range,9.6,Formal
Hourglass,Formal,"['Green', 'Neutral']",Winter,Wool,Unisex,Budget,5.3,Formal
Inverted Triangle,Casual,"['Black', 'Red']",Winter,Wool,Male,Mid-range,9.5,Streetwear
Rectangle,Casual,"['Neutral', 'Red', 'Black']",Fall,Polyester,Unisex,Budget,9.2,Streetwear
Oval,Party,['Silver'],Summer,Silk,Female,Budget,6.9,Glam
Pear,Wedding,"['White', 'Green']",Winter,Wool,Unisex,Budget,8.6,Streetwear
Inverted Triangle,Wedding,['Gold'],Winter,Wool,Unisex,Luxury,8.3,Glam
Inverted Triangle,Party,"['Red', 'Green', 'Silver']",Fall,Silk,Female,Mid-range,8.1,Business Casual
Inverted Triangle,Casual,['Blue'],Summer,Cotton,Male,Budget,7.4,Business Casual
Rectangle,Casual,"['Neutral', 'Green', 'White']",Fall,Silk,Female,Luxury,9.1,Business Casual
Hourglass,Formal,['Black'],Winter,Polyester,Female,Budget,2.7,Business Casual
Hourglass,Business,['Neutral'],Summer,Silk,Unisex,Budget,7.5,Business Casual
Rectangle,Casual,"['Green', 'White', 'Silver']",Summer,Polyester,Male,Luxury,9.5,Glam
Rectangle,Business,"['Green', 'Neutral', 'Silver']",Winter,Denim,Unisex,Mid-range,9.4,Formal
Inverted Triangle,Casual,"['Green', 'Neutral', 'Red']",Spring,Cotton,Unisex,Mid-range,2.7,Formal
Oval,Party,['Red'],Summer,Cotton,Male,Luxury,6.9,Glam
Rectangle,Party,['Gold'],Spring,Polyester,Male,Budget,6.8,Glam
Inverted Triangle,Formal,"['Red', 'Gold', 'White']",Summer,Cotton,Unisex,Luxury,7.4,Formal
Inverted Triangle,Wedding,"['Gold', 'Blue', 'Red']",Summer,Silk,Male,Mid-range,2.8,Formal
Pear,Wedding,"['Neutral', 'Gold']",Fall,Polyester,Female,Mid-range,1.7,Glam
Rectangle,Formal,"['Silver', 'White']",Summer,Silk,Male,Luxury,6.3,Formal
Hourglass,Wedding,['Green'],Fall,Polyester,Female,Luxury,4.8,Formal
Oval,Casual,"['Red', 'Black', 'Silver']",Summer,Cotton,Male,Mid-range,9.9,Formal
Hourglass,Wedding,"['Neutral', 'Green', 'Gold']",Fall,Polyester,Male,Mid-range,2.7,Glam
Hourglass,Formal,"['Silver', 'Black', 'White']",Fall,Cotton,Female,Budget,2.3,Formal
Rectangle,Wedding,"['Black', 'White']",Fall,Silk,Unisex,Budget,2.3,Business Casual
Oval,Business,"['Green', 'Neutral', 'Gold']",Winter,Wool,Female,Mid-range,7.7,Business Casual
Pear,Casual,"['Silver', 'Black', 'Green']",Summer,Polyester,Male,Mid-range,3.9,Business Casual
Hourglass,Wedding,"['Green', 'White', 'Gold']",Fall,Polyester,Male,Budget,5.2,Streetwear
Oval,Formal,"['White', 'Red', 'Blue']",Summer,Silk,Unisex,Mid-range,4.8,Formal
Inverted Triangle,Party,"['Blue', 'Red', 'Silver']",Fall,Polyester,Unisex,Mid-range,4.2,Business Casual
Pear,Formal,"['Green', 'White']",Summer,Silk,Female,Budget,7.3,Formal
Pear,Party,"['Green', 'Gold', 'Silver']",Winter,Denim,Unisex,Luxury,3.7,Streetwear
Rectangle,Casual,['Silver'],Summer,Polyester,Female,Budget,3.1,Bohemian
Pear,Formal,"['White', 'Gold', 'Black']",Winter,Wool,Unisex,Budget,4.1,Glam
Hourglass,Wedding,['Blue'],Winter,Wool,Unisex,Luxury,6.0,Business Casual
Inverted Triangle,Business,"['Green', 'White', 'Neutral']",Spring,Cotton,Female,Budget,2.4,Streetwear
Pear,Casual,['White'],Summer,Cotton,Male,Budget,5.3,Glam
Pear,Party,['Neutral'],Spring,Cotton,Unisex,Mid-range,8.0,Bohemian
Inverted Triangle,Party,"['Black', 'Gold']",Spring,Cotton,Female,Luxury,7.8,Bohemian
Hourglass,Formal,['Red'],Fall,Cotton,Unisex,Mid-range,6.8,Formal
Oval,Casual,"['Gold', 'Silver']",Summer,Silk,Female,Luxury,2.9,Bohemian
Oval,Party,"['Black', 'White', 'Gold']",Winter,Polyester,Male,Budget,2.6,Streetwear
Rectangle,Party,['Red'],Fall,Silk,Unisex,Budget,2.3,Streetwear
Inverted Triangle,Party,['Gold'],Fall,Cotton,Unisex,Mid-range,2.5,Formal
Oval,Party,"['Blue', 'Black', 'Red']",Summer,Cotton,Male,Mid-range,2.0,Bohemian
Oval,Business,"['White', 'Gold']",Spring,Silk,Unisex,Budget,7.7,Bohemian
Rectangle,Casual,['Blue'],Spring,Silk,Unisex,Luxury,6.9,Formal
Rectangle,Party,"['Silver', 'Black', 'Blue']",Winter,Wool,Male,Mid-range,7.5,Streetwear
Rectangle,Business,['Blue'],Fall,Silk,Male,Luxury,6.6,Business Casual
Inverted Triangle,Formal,"['Neutral', 'Green']",Fall,Polyester,Male,Budget,3.9,Formal
Rectangle,Party,['Neutral'],Summer,Cotton,Male,Luxury,4.8,Glam
Rectangle,Formal,"['Silver', 'Blue']",Fall,Cotton,Male,Mid-range,4.6,Formal
Inverted Triangle,Business,"['Silver', 'Blue', 'Gold']",Winter,Polyester,Unisex,Budget,1.6,Formal
Hourglass,Formal,"['Black', 'Green', 'Silver']",Fall,Silk,Unisex,Budget,5.1,Glam
Inverted Triangle,Business,['Neutral'],Spring,Silk,Female,Luxury,6.5,Formal
Inverted Triangle,Formal,['Silver'],Winter,Denim,Male,Budget,6.8,Formal
Rectangle,Party,"['Blue', 'White', 'Silver']",Winter,Wool,Female,Mid-range,3.3,Glam
Pear,Casual,['Green'],Fall,Silk,Unisex,Budget,3.9,Glam
Oval,Party,"['Black', 'Blue']",Winter,Polyester,Female,Mid-range,1.6,Formal
Hourglass,Formal,"['White', 'Green']",Summer,Silk,Female,Luxury,9.2,Glam
Oval,Casual,['Black'],Spring,Polyester,Female,Mid-range,9.9,Bohemian
Rectangle,Formal,"['Blue', 'Silver', 'Gold']",Winter,Wool,Female,Luxury,6.3,Formal
Hourglass,Formal,"['White', 'Gold']",Fall,Cotton,Female,Luxury,8.8,Formal
Hourglass,Casual,"['White', 'Blue']",Summer,Silk,Male,Mid-range,5.3,Bohemian
Rectangle,Wedding,"['Silver', 'White']",Summer,Cotton,Male,Luxury,8.5,Bohemian
Rectangle,Casual,"['Red', 'Gold']",Fall,Polyester,Unisex,Luxury,2.9,Formal
Oval,Casual,['Green'],Winter,Polyester,Male,Luxury,7.3,Streetwear
Inverted Triangle,Casual,"['Red', 'Gold', 'Silver']",Summer,Polyester,Female,Mid-range,3.6,Glam
Inverted Triangle,Wedding,['Black'],Fall,Cotton,Unisex,Luxury,7.6,Streetwear
Pear,Casual,['Red'],Fall,Cotton,Female,Luxury,3.3,Streetwear
Rectangle,Casual,"['White', 'Silver']",Winter,Polyester,Unisex,Luxury,1.5,Streetwear
Oval,Casual,"['Blue', 'Green', 'Black']",Spring,Silk,Unisex,Mid-range,6.7,Formal
Pear,Business,"['Green', 'Neutral']",Spring,Silk,Male,Luxury,4.1,Business Casual
Rectangle,Casual,['Neutral'],Spring,Silk,Unisex,Mid-range,9.9,Streetwear
Pear,Party,['Black'],Summer,Silk,Male,Budget,7.9,Business Casual
Pear,Party,"['Neutral', 'Silver', 'Blue']",Fall,Polyester,Female,Mid-range,8.1,Business Casual
Pear,Wedding,"['Silver', 'Neutral', 'Black']",Summer,Cotton,Male,Luxury,7.4,Business Casual
Inverted Triangle,Formal,"['Silver', 'Red']",Summer,Silk,Male,Budget,9.9,Formal
Rectangle,Casual,['Silver'],Winter,Wool,Unisex,Luxury,3.2,Business Casual
Pear,Party,"['Red', 'Neutral']",Fall,Silk,Male,Mid-range,9.7,Business Casual
Rectangle,Casual,"['Blue', 'Gold']",Fall,Cotton,Male,Luxury,1.9,Bohemian
Pear,Party,['Red'],Spring,Silk,Unisex,Luxury,9.5,Bohemian
Inverted Triangle,Wedding,['Blue'],Spring,Cotton,Unisex,Luxury,9.3,Bohemian
Pear,Wedding,"['Neutral', 'Blue']",Summer,Silk,Unisex,Mid-range,2.5,Streetwear
Rectangle,Casual,"['Silver', 'Green', 'Red']",Summer,Cotton,Female,Mid-range,5.1,Streetwear
Pear,Party,"['Gold', 'White', 'Black']",Summer,Polyester,Male,Budget,3.2,Glam
